group,api_route,tool,order,command,input_type,default_value,description_core,description_api,core_visible,core_required,api_enabled,api_required,api_visible,api_alias,core_alias
tools,state,getState,,nozero,flag,,suppress the display of zero balance accounts,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,state,getState,,changes,flag,,only report a balance when it changes from one block to the next,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,state,getState,,noHeader,flag,,hide the header in txt and csv mode,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,state,getState,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,state,getState,,,,,Retrieve the balance (in wei) for one or more addresses at the given block(s).,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,block_list,flag,,a space-separated list of one or more blocks for which to retrieve blooms,,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,,getBloom,,eab,flag,,pull the enhanced adaptive blooms from QBlocks cache,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,block,flag,,show only the block-level bloom (--raw only),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,receipts,flag,,show only the receipt-level blooms (--raw only),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,bits,flag,,display blooms as bits instead of hex,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,bars,flag,,display blooms as bar chart instead of hex,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,bitbars,flag,,display nBits as a bar chart,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,pctbars,flag,,display nBits as a percentage of bloom space,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,bitcount,flag,,display the number of bits lit per bloom,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getBloom,,force,flag,,force a re-write of the bloom to the cache,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,,getBloom,,,,,Returns bloom filter(s) from running node (the default) or as EAB from QBlocks.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,whereBlock,,block_list,flag,,a space-separated list of one or more blocks to search for,,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,,whereBlock,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,,whereBlock,,,,,"Reports if a block was found in the cache, at a local, or at a remote node.",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getTokenInfo,,address_list,flag,,"two or more addresses (0x...), the first is an ERC20 token, balances for the rest are reported",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,,getTokenInfo,,block_list,flag,,"an optional list of one or more blocks at which to report balances, defaults to 'latest'",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,,getTokenInfo,,byAcct,flag,,"consider each address an ERC20 token except the last, whose balance is reported for each token",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getTokenInfo,,nozero,flag,,suppress the display of zero balance accounts,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,getTokenInfo,,info,<val>,,retreive information [name|decimals|totalSupply|version|symbol|all] about the token,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,,getTokenInfo,,,,,Retrieve the token balance(s) for one or more addresses at the given (or latest) block(s).,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,traces,getTrace,,trans_list,flag,,"a space-separated list of one or more transaction identifiers (tx_hash, bn.txID, blk_hash.txID)",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,traces,getTrace,,articulate,flag,,articulate the transactions if an ABI is found for the 'to' address,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,traces,getTrace,,countOnly,flag,,show the number of traces for the transaction only (fast),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,traces,getTrace,,noHeader,flag,,do not show the header row,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,traces,getTrace,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,traces,getTrace,,ddos,,,skip over dDos transactions in export (on by default,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,traces,getTrace,,,,,Retrieve a transaction's traces from the local cache or a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,traces,getTrace,,to_file,flag,,send results to a temporary file and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,traces,getTrace,,output,<fn>,,send results to file 'fn' and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,slurp,ethslurp,,addrs,flag,,one or more addresses to slurp,,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,slurp,ethslurp,,blocks,<range>,,an optional range of blocks to slurp,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,slurp,ethslurp,,type,<tx_type>,,extract either [ ext | int | token | miner | all ] type of transactions,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,slurp,ethslurp,,fmt,<str>,,"pretty print, optionally add ':txt,' ':csv,' or ':html'",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,slurp,ethslurp,,blocks,<range>,,export records in block range (:0[:max]),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,slurp,ethslurp,,silent,flag,,"Run silently (only freshen the data, do not display it)",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,slurp,ethslurp,,,,,Fetches data from EtherScan for an arbitrary address. Formats the output to your specification.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,whenBlock,,block,flag,,"one or more block numbers (or a 'special' block), or...",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,,whenBlock,,date,flag,,one or more dates formatted as YYYY-MM-DD[THH[:MM[:SS]]],,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,,whenBlock,,list,flag,,export all the named blocks,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,whenBlock,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,,whenBlock,,,,,"Finds the nearest block prior to a date, or the nearest date prior to a block.\n Alternatively, search for one of special 'named' blocks.",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,quotes,ethQuote,,at,<timestamp>,,Report the price since nearest five minutes to the given timestamp,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,quotes,ethQuote,,current,flag,,Report on the current price (i.e. -at:now),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,quotes,ethQuote,,data,flag,,Export prices as JSON data,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,quotes,ethQuote,,freshen,flag,,Freshen database (append new data),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,quotes,ethQuote,,period,<5|15|30|*120|240|1440>,,Display prices in this increment. One of [5|15|30|120*|240|1440],,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,quotes,ethQuote,,pair,<val>,,Which price pair to freshen or list (see Poloniex),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,quotes,ethQuote,,,,,Freshen and/or display Ethereum price data and other purposes.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,addr_list,flag,,list of one or more smart contracts whose ABI to grab from EtherScan,,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,abi,grabABI,,canonical,flag,,convert all types to their canonical represenation and remove all spaces from display,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,generate,flag,,generate C++ code into the current folder for all functions and events found in the ABI,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,data,flag,,export the display as data,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,encode,flag,,generate the encodings for the functions / events in the ABI,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,json,flag,,print the ABI to the screen as json,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,noconst,flag,,generate encodings for non-constant functions and events only (always true when generating),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,sol,<fn>,,create the ABI file from a .sol file in the local directory,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,abi,grabABI,,open,flag,,"open the ABI file for editing, download if not already present",,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,abi,grabABI,,silent,flag,,"if ABI cannot be acquired, fail silently (useful for scripting)",,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,abi,grabABI,,nodec,flag,,do not decorate duplicate names,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,abi,grabABI,,known,flag,,load common 'known' ABIs from cache,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,abi,grabABI,,,,,Fetches the ABI for a smart contract. Optionally generates C++ source code representing that ABI.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,parse,flag,,display parsed input data,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,logs,flag,,display smart contract lo(g)s or events,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,trace,flag,,display smart contract internal traces,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,accounting,flag,,display credits and debits per account and reconcile at each block,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,no_check,flag,,do not do balance check at each block,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,debug,flag,,enter debug mode (pause after each transaction),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,single,flag,,"if debugging is enable, single step through transactions",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,export,flag,,export the transactions to export file,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,json,flag,,ignore export format and export as json,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,bals,flag,,"if a balance does not reconcile, export a message to a file",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,list,flag,,display list of monitored accounts,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,kBlock,<num>,,start processing at block :k,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,offset,<num>,,offset to kBlock,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,,templates,,,flag,,Index transactions for a given Ethereum address (or series of addresses).,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,terms,flag,,a space separated list of one or more search terms,,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,accounts,getAccounts,,expand,flag,,"expand search to include all fields (default searches name, address, and symbol only)",,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,matchCase,flag,,do case-sensitive search,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,owned,flag,,Include personal accounts in the search,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,custom,flag,,Include your custom named accounts,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,prefund,flag,,Include prefund accounts,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,named,flag,,Include well know token and airdrop addresses in the search,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,addr,flag,,display only addresses in the results (useful for scripting),,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,accounts,getAccounts,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,accounts,getAccounts,,other,flag,,export other addresses if found,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,accounts,getAccounts,,,flag,,Query addresses and/or names well known accounts.\n,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,logs,getLogs,,trans_list,flag,,"a space-separated list of one or more transaction identifiers (tx_hash, bn.txID, blk_hash.txID)",,TRUE,TRUE,TRUE,TRUE,TRUE,,
tools,logs,getLogs,,articulate,flag,,articulate the transactions if an ABI is found for the 'to' address,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,logs,getLogs,,fmt,<fmt>,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,logs,getLogs,,,flag,,Retrieve a transaction's logs from the local cache or a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
tools,logs,getLogs,,to_file,flag,,send results to a temporary file and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
tools,logs,getLogs,,output,<fn>,,send results to file 'fn' and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,filenames,flag,,"path(s) of files to check, merge, fix or display (default=display)",,TRUE,TRUE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,check,flag,,check for duplicates and other problems in the cache,,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,data,flag,,"in 'list' mode, render results as data (i.e export mode)",,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,sort,flag,,"sort the list of transactions and re-write (precludes other modes, other than --dedup)",,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,fix,flag,,remove duplicates from the cache (if any),,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,list,flag,,list the contents of the cache (the default if no other option),,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,cacheBals,flag,,cache per block account balances for each account,,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,balances,flag,,export account balances for each account,,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,import,flag,,import transactions if import.txt file exists in current folder,,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,remove,flag,,remove transactions if remove.txt file exists in current folder,,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,truncate,<num>,,"truncate the cache at block :n (keeps block 'n' and before, implies --fix)",,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,maxBlock,<num>,,"for testing, max block to visit",,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,merge,flag,,merge two or more caches into a single cache,,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,fmt,<fmt>,,export format (one of [json|txt|csv]),,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,skip,flag,,skip value for testing,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,start,<num>,,un-used hidden value - do not remove,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,,,,Show the contents of an account cache and/or fix it by removing duplicate records.\n,,TRUE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,to_file,flag,,send results to a temporary file and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,,cacheMan,,output,<fn>,,send results to file 'fn' and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,scrape,blockScrape,,nBlocks,<num>,,maximum number of blocks to process (defaults to 5000),,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,scrape,blockScrape,,nBlockProcs,<num>,,number of block channels for blaze,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,scrape,blockScrape,,nAddrProcs,<num>,,number of address channels for blaze,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,scrape,blockScrape,,,,,Decentralized blockchain scraper and block cache.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,export,acctExport,,addr_list,flag,,one or more addresses (0x...) to export,,TRUE,TRUE,TRUE,TRUE,TRUE,,
apps,export,acctExport,,fmt,<fmt>,,export format (one of [json|txt|csv]),,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,export,acctExport,,articulate,flag,,"articulate transactions, traces, logs, and outputs",,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,export,acctExport,,logs,flag,,export logs instead of transactions,,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,export,acctExport,,traces,flag,,export traces instead of transactions,,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,export,acctExport,,blocks,<on/off>,,write blocks to the binary cache ('off' by default),,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,txs,<on/off>,,write transactions to the binary cache ('on' by default),,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,trc,<on/off>,,write traces to the binary cache ('off' by default),,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,ddos,<on/off>,,skip over dDos transactions in export ('on' by default),,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,maxTraces,<num>,,"if --ddos:on, the number of traces defining a dDos (default = 250)",,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,noHeader,,,do not show the header row,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,allABIs,,,load all previously cached abi files,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,grabABIs,,,using each trace's 'to' address grab the abi for that address (improved articulation),,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,start,<num>,,first block to export (inclusive),,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,end,<num>,,last block to export (inclusive),,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,,,,Export full detail of transactions for one or more Ethereum addresses.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,export,acctExport,,to_file,flag,,send results to a temporary file and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,export,acctExport,,output,<fn>,,send results to file 'fn' and return the filename,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,,chifra,,command,flag,,one of [ leech | scrape | daemon | list | export | balances | stats | ls | rm | accounts | config | slurp | quotes | data | blocks | trans | receipts | logs | traces | state | abi ],,TRUE,TRUE,TRUE,TRUE,TRUE,,
apps,,chifra,,sleep,<num>,,"for the 'scrape' and 'daemon' commands, the number of seconds chifra should sleep between runs (default 0)",,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,,chifra,,,,,Create a TrueBlocks monitor configuration.,,TRUE,FALSE,TRUE,FALSE,TRUE,,
apps,"export,list",acctScrape,,addr_list,flag,,one or more Ethereum addresses,,TRUE,TRUE,TRUE,TRUE,TRUE,,
apps,"export,list",acctScrape,,noBlooms,flag,,turn off bloom filters for performance testing,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,"export,list",acctScrape,,staging,flag,,produce results in the staging folder instead of production folder,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,"export,list",acctScrape,,unripe,flag,,visit unripe (not old enough and not yet staged or finalized) blocks,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,"export,list",acctScrape,,daemon,flag,,we are being called in daemon mode which causes us to print results differently,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,"export,list",acctScrape,,start,<num>,,first block to check,,FALSE,FALSE,FALSE,FALSE,FALSE,,
apps,"export,list",acctScrape,,,flag,,Index transactions for a given Ethereum address (or series of addresses).,,TRUE,FALSE,TRUE,FALSE,TRUE,,
all,all,all,,version,,,display the current version of the tool,,TRUE,FALSE,TRUE,FALSE,TRUE,,
all,all,all,,nocolor,,,turn off colored display,,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,wei,,,specify value in wei (the default),,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,ether,,,specify value in ether,,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,dollars,,,specify value in US dollars,,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,raw,,,report JSON data from the node with minimal processing,,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,veryRaw,,,report JSON data from node with zero processing,,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,fmt,<fmt>,,export format (where appropriate). One of [none|txt|csv|json|api],,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,api_mode,,,simulate api_mode for testing,,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,to_file,,,write the results to a temporary file and return the filename,,TRUE,FALSE,TRUE,FALSE,TRUE,,
all,all,all,,output,<fn>,,write the results to file 'fn' and return the filename,,TRUE,FALSE,FALSE,FALSE,FALSE,,
all,all,all,,file,<fn>,,specify multiple sets of command line options in a file.,,TRUE,FALSE,FALSE,FALSE,FALSE,,
